"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0042","GDM.0042","Pb-1443, 1675","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.5,NA,15.66,NA,38.64,NA,0.8463,NA,2.0883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",207,9.7441,3.9694,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0043","GDM.0043","Pb-1444, 1676","Spain","Cuenca",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.36,NA,15.64,NA,38.46,NA,0.8523,NA,2.0952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",273,9.6964,3.9612,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0044","GDM.0044","Pb-1445, 1677","Spain","Sevilla",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.41,NA,15.63,NA,38.46,NA,0.8492,NA,2.0893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",216,9.6459,3.9241,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0045","GDM.0045","Pb-1447, 1679","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.24,NA,15.62,NA,38.4,NA,0.8562,NA,2.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",325,9.6451,4.0038,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0046","GDM.0046","Pb-1448, 1680","Spain","Burgos",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.34,NA,15.65,NA,38.48,NA,0.8533,NA,2.0976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",307,9.7407,3.9889,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0047","GDM.0047","Pb-1449, 1681","Spain","Avila",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.48,NA,15.64,NA,38.52,NA,0.8464,NA,2.0848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",183,9.6701,3.9128,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0048","GDM.0048","Pb-1450, 1682","Spain","Cuenca",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.42,NA,15.64,NA,38.53,NA,0.8491,NA,2.0911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",228,9.683,3.9579,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0049","GDM.0049","Pb-1476, 1522","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Cuartillo",NA,18.09,NA,15.62,NA,38.16,NA,0.8633,NA,2.1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1454-74",437,9.6832,3.9759,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0050","GDM.0050","Pb-1477, 1523","Spain","Toledo",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Half Cuartillo",NA,18.08,NA,15.63,NA,38.17,NA,0.8644,NA,2.1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1454-74",463,9.7266,3.992,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0051","GDM.0051","Pb-1478, 1524","Spain","Cuenca",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Half Cuartillo",NA,18.14,NA,15.64,NA,38.25,NA,0.8624,NA,2.1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1454-74",436,9.7509,3.998,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0052","GDM.0052","Pb-1479, 1525","Spain","Sevilla",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Coin, Blanca",NA,18.47,NA,15.64,NA,38.47,NA,0.847,NA,2.0829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",190,9.6722,3.8932,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological"
"GDM.0060","GDM.0060","MR-21","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.224,NA,15.635,NA,38.222,NA,0.85794,NA,2.09735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,365,9.709,3.923,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0061","GDM.0061","MR-85","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.267,NA,15.668,NA,38.304,NA,0.8577,NA,2.09688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,394,9.8307,3.9498,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0062","GDM.0062","MR-140","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.23,NA,15.643,NA,38.281,NA,0.8581,NA,2.09988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,375,9.7396,3.9539,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0063","GDM.0063","MR-10","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.208,NA,15.638,NA,38.241,NA,0.85885,NA,2.10023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,382,9.7251,3.9454,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0064","GDM.0064","MR-29","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.251,NA,15.668,NA,38.356,NA,0.85849,NA,2.10161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,406,9.8349,3.989,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0065","GDM.0065","MR-53","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.233,NA,15.649,NA,38.273,NA,0.85829,NA,2.09911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,384,9.763,3.9495,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0066","GDM.0066","MR-101","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.233,NA,15.686,NA,38.275,NA,0.86033,NA,2.09924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,452,9.9126,3.9632,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0067","GDM.0067","MR-53","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.213,NA,15.629,NA,38.216,NA,0.85814,NA,2.09828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,362,9.6877,3.9252,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0068","GDM.0068","MR-129c","Spain","Huelva","Cueva de la Mora","Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Silver",NA,NA,18.226,NA,15.637,NA,38.249,NA,0.85794,NA,2.09857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,367,9.7165,3.9371,"Kassianidou, 1992","Ref.013","U. Oxford","TIMS","Cited by Hunt-Ortiz, 2003","Archaeological"
"GDM.0436","GDM.0436","CL79/Tl/77","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological mineral","Pb metal","Litharge",NA,18.204,NA,15.626,NA,38.378,NA,0.8584,NA,2.1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,363,9.6779,4.019,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0437","GDM.0437","CL79/Tl/22","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological mineral","Pb metal","Litharge",NA,18.362,NA,15.711,NA,38.652,NA,0.8556,NA,2.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,403,9.9795,4.0873,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0438","GDM.0438","CL79/T2/21","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological mineral","Pb metal","Litharge",NA,18.393,NA,15.682,NA,38.622,NA,0.8526,NA,2.0998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,328,9.8554,4.0399,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0439","GDM.0439","CL79/T2/69","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological mineral","Ore mix","Ore",NA,18.364,NA,15.69,NA,38.581,NA,0.8544,NA,2.1009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,364,9.8945,4.0406,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0440","GDM.0440","CL79/T2/23","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological mineral","Pb metal","Litharge",NA,18.354,NA,15.683,NA,38.565,NA,0.8545,NA,2.1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,358,9.869,4.0365,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0441","GDM.0441","CL79/T2/17","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological mineral","Pb metal","Litharge",NA,18.367,NA,15.695,NA,38.609,NA,0.8545,NA,2.1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,371,9.9138,4.0553,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0442","GDM.0442","CL79/T2/57","Spain","Huelva",NA,"Corta Lago",37.700719,-6.613679,"Archaeological artefacts","Pb metal","Lead metal",NA,18.391,NA,15.734,NA,38.685,NA,0.8555,NA,2.1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,424,10.0648,4.0929,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0443","GDM.0443","MR71","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.218,NA,15.626,NA,38.196,NA,0.8577,NA,2.0966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,352,9.6744,3.9098,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0444","GDM.0444","MR7g","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.22,NA,15.631,NA,38.211,NA,0.8579,NA,2.0972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,360,9.694,3.9184,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0445","GDM.0445","MR7e","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.212,NA,15.626,NA,38.198,NA,0.858,NA,2.0974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,357,9.6759,3.915,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0446","GDM.0446","MR129a","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological mineral","Pb metal","Residue from a cupellation dish",NA,18.221,NA,15.632,NA,38.224,NA,0.8579,NA,2.0978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,361,9.6977,3.9251,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0447","GDM.0447","MR7Q","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.236,NA,15.643,NA,38.255,NA,0.8578,NA,2.0978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,371,9.7381,3.9356,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0448","GDM.0448","MR68h","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.224,NA,15.634,NA,38.23,NA,0.8579,NA,2.0978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,363,9.705,3.9271,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0449","GDM.0449","MR68a","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.227,NA,15.637,NA,38.238,NA,0.8579,NA,2.0979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,366,9.7163,3.9304,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0450","GDM.0450","MR42","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.214,NA,15.629,NA,38.215,NA,0.8581,NA,2.0981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,361,9.6875,3.9239,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0451","GDM.0451","MR7h","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.225,NA,15.637,NA,38.24,NA,0.858,NA,2.0982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,368,9.7168,3.9329,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0452","GDM.0452","MR5","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological mineral","Pb metal","Residue from a cupellation dish",NA,18.213,NA,15.629,NA,38.216,NA,0.8581,NA,2.0983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,362,9.6877,3.9252,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0453","GDM.0453","MR129c","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological mineral","Pb metal","Residue from a cupellation dish",NA,18.226,NA,15.64,NA,38.249,NA,0.8581,NA,2.0986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,373,9.7286,3.9381,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0454","GDM.0454","MR71","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.202,NA,15.623,NA,38.201,NA,0.8583,NA,2.0987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,359,9.6664,3.9224,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0455","GDM.0455","MR7d","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.23,NA,15.643,NA,38.261,NA,0.8581,NA,2.0988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,375,9.7396,3.943,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0456","GDM.0456","MR30a","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological mineral","Pb metal","Residue from a cupellation dish",NA,18.231,NA,15.648,NA,38.267,NA,0.8583,NA,2.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,384,9.7594,3.9473,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0457","GDM.0457","MR68b","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.221,NA,15.637,NA,38.246,NA,0.8582,NA,2.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,371,9.7178,3.9389,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0458","GDM.0458","MR7m","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.239,NA,15.653,NA,38.285,NA,0.8582,NA,2.0991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,387,9.7775,3.9534,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0459","GDM.0459","MR123a","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.23,NA,15.647,NA,38.267,NA,0.8583,NA,2.0991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,383,9.7557,3.9476,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0460","GDM.0460","MR7k","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.23,NA,15.647,NA,38.268,NA,0.8583,NA,2.0992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,383,9.7557,3.9482,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0461","GDM.0461","MR30b","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological mineral","Pb metal","Residue from a cupellation dish",NA,18.23,NA,15.649,NA,38.276,NA,0.8584,NA,2.0996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,386,9.7637,3.9532,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0462","GDM.0462","MR129b","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological mineral","Pb metal","Residue from a cupellation dish",NA,18.23,NA,15.65,NA,38.279,NA,0.8585,NA,2.0998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,388,9.7677,3.9552,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0463","GDM.0463","MR7n","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.252,NA,15.668,NA,38.331,NA,0.8584,NA,2.1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,405,9.8346,3.9747,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0464","GDM.0464","MR7L","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.249,NA,15.665,NA,38.332,NA,0.8584,NA,2.1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,402,9.8233,3.9763,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
"GDM.0465","GDM.0465","MR68c","Spain","Huelva",NA,"Monte Romero",37.780829,-6.789095,"Archaeological artefacts","Pb metal","Lead piece",NA,18.229,NA,15.653,NA,38.292,NA,0.8587,NA,2.1006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,395,9.7801,3.964,"Stos-Gale, 2001","Ref.030","U. Oxford","TIMS",NA,"Archaeological"
